Embryo,Genotype,Background,Stage_Group,Fused_Ventrally,Reduced_Fissure,Anophthalmia,Side_If_Anophtalmia,Missing_or_Inside,Curly_Tail,Smooth_Pointed_Philthrum,Forked_Kinked_Hooked_Tail,Spina_Bifida,Reduced_Forebrain,Reduced_Lat_Vents
C3HG30_55_e7,WT,C3H,1,,,N,N,N,N,N,N,N,,
C3HG30_25_e1,HET,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_25_e2,WT,C3H,1,,,N,N,N,N,N,N,N,,
C3HG30_25_e3,HET,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_25_e4,HET,C3H,0,,,N,N,N,N,N,N,Y,,
C3HG30_25_e6,HET,C3H,2,,,N,N,N,N,N,Y,N,,
C3HG30_25_e8,HET,C3H,1,,,N,N,N,N,N,N,Y,,
C3HG30_52_e2,WT,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_52_e5,HET,C3H,2,,,N,N,N,N,N,N,N,,
C3HG30_52_e6,HET,C3H,1,,,N,N,N,N,N,N,N,,
